,k,accuracy,model,epoch
0,1,38.82,hopfield,0
1,1,44.55,hopfield,1
2,1,50.01,hopfield,2
3,1,51.62,hopfield,3
4,1,53.68,hopfield,4
5,1,55.69,hopfield,5
6,1,57.3,hopfield,6
7,1,57.65,hopfield,7
8,1,58.13,hopfield,8
9,1,59.44,hopfield,9
10,1,60.53,hopfield,10
11,1,60.97,hopfield,11
12,1,62.09,hopfield,12
13,1,61.73,hopfield,13
14,1,61.37,hopfield,14
15,1,60.47,hopfield,15
16,1,62.77,hopfield,16
17,1,61.15,hopfield,17
18,1,61.77,hopfield,18
19,1,61.32,hopfield,19
20,1,61.94,hopfield,20
21,1,62.05,hopfield,21
22,1,61.36,hopfield,22
23,1,60.67,hopfield,23
24,1,60.86,hopfield,24
25,1,61.31,hopfield,25
26,1,60.34,hopfield,26
27,1,61.0,hopfield,27
28,1,60.76,hopfield,28
29,1,59.82,hopfield,29
30,1,60.88,hopfield,30
31,1,60.83,hopfield,31
32,1,60.7,hopfield,32
33,1,59.07,hopfield,33
34,1,59.79,hopfield,34
35,1,59.13,hopfield,35
36,1,60.38,hopfield,36
37,1,59.12,hopfield,37
38,1,60.16,hopfield,38
39,1,59.41,hopfield,39
40,1,59.73,hopfield,40
41,1,59.81,hopfield,41
42,1,59.49,hopfield,42
43,1,59.3,hopfield,43
44,1,59.39,hopfield,44
45,1,59.79,hopfield,45
46,1,58.64,hopfield,46
47,1,58.37,hopfield,47
48,1,59.63,hopfield,48
49,1,58.69,hopfield,49
50,1,58.86,hopfield,50
51,1,59.56,hopfield,51
52,1,59.11,hopfield,52
53,1,59.02,hopfield,53
54,1,59.92,hopfield,54
55,1,59.52,hopfield,55
56,1,59.34,hopfield,56
57,1,58.91,hopfield,57
58,1,59.38,hopfield,58
59,1,58.37,hopfield,59
60,1,59.18,hopfield,60
61,1,58.69,hopfield,61
62,1,59.07,hopfield,62
63,1,60.01,hopfield,63
64,1,59.98,hopfield,64
65,1,59.49,hopfield,65
66,1,59.65,hopfield,66
67,1,59.62,hopfield,67
68,1,59.49,hopfield,68
69,1,59.56,hopfield,69
70,1,58.93,hopfield,70
71,1,59.34,hopfield,71
72,1,60.21,hopfield,72
73,1,59.29,hopfield,73
74,1,59.69,hopfield,74
75,1,59.46,hopfield,75
76,1,59.27,hopfield,76
77,1,58.89,hopfield,77
78,1,59.56,hopfield,78
79,1,59.14,hopfield,79
80,1,59.03,hopfield,80
81,1,59.29,hopfield,81
82,1,59.88,hopfield,82
83,1,58.91,hopfield,83
84,1,59.37,hopfield,84
85,1,60.55,hopfield,85
86,1,60.15,hopfield,86
87,1,59.93,hopfield,87
88,1,60.18,hopfield,88
89,1,59.3,hopfield,89
90,1,58.84,hopfield,90
91,1,59.45,hopfield,91
92,1,59.1,hopfield,92
93,1,59.77,hopfield,93
94,1,58.0,hopfield,94
95,1,59.86,hopfield,95
96,1,59.09,hopfield,96
97,1,58.32,hopfield,97
98,1,59.8,hopfield,98
99,1,59.57,hopfield,99
100,4,47.14,hopfield,0
101,4,51.48,hopfield,1
102,4,53.47,hopfield,2
103,4,57.15,hopfield,3
104,4,58.47,hopfield,4
105,4,60.62,hopfield,5
106,4,60.74,hopfield,6
107,4,62.22,hopfield,7
108,4,61.89,hopfield,8
109,4,62.66,hopfield,9
110,4,62.37,hopfield,10
111,4,62.08,hopfield,11
112,4,61.95,hopfield,12
113,4,62.04,hopfield,13
114,4,60.98,hopfield,14
115,4,60.69,hopfield,15
116,4,60.53,hopfield,16
117,4,60.48,hopfield,17
118,4,61.49,hopfield,18
119,4,61.64,hopfield,19
120,4,60.43,hopfield,20
121,4,60.8,hopfield,21
122,4,59.91,hopfield,22
123,4,60.51,hopfield,23
124,4,60.76,hopfield,24
125,4,60.25,hopfield,25
126,4,60.5,hopfield,26
127,4,60.68,hopfield,27
128,4,59.95,hopfield,28
129,4,61.1,hopfield,29
130,4,59.95,hopfield,30
131,4,59.69,hopfield,31
132,4,60.39,hopfield,32
133,4,60.84,hopfield,33
134,4,60.91,hopfield,34
135,4,61.32,hopfield,35
