,k,accuracy,model,epoch
0,4,15.41,hopfield,0
1,4,17.31,hopfield,1
2,4,17.99,hopfield,2
3,4,18.91,hopfield,3
4,4,17.94,hopfield,4
5,4,18.28,hopfield,5
6,4,21.64,hopfield,6
7,4,25.01,hopfield,7
8,4,24.61,hopfield,8
9,4,23.58,hopfield,9
10,4,24.46,hopfield,10
11,4,25.09,hopfield,11
12,4,27.0,hopfield,12
13,4,28.17,hopfield,13
14,4,28.49,hopfield,14
15,4,28.65,hopfield,15
16,4,27.95,hopfield,16
17,4,28.54,hopfield,17
18,4,28.55,hopfield,18
19,4,28.44,hopfield,19
20,4,28.57,hopfield,20
21,4,28.41,hopfield,21
22,4,28.8,hopfield,22
23,4,29.4,hopfield,23
24,4,29.58,hopfield,24
25,4,29.87,hopfield,25
26,4,30.03,hopfield,26
27,4,30.21,hopfield,27
28,4,30.7,hopfield,28
29,4,30.68,hopfield,29
30,8,14.39,hopfield,0
31,8,19.17,hopfield,1
32,8,21.46,hopfield,2
33,8,21.6,hopfield,3
34,8,20.15,hopfield,4
35,8,20.67,hopfield,5
36,8,20.88,hopfield,6
37,8,21.01,hopfield,7
38,8,22.04,hopfield,8
39,8,22.89,hopfield,9
40,8,23.67,hopfield,10
41,8,24.81,hopfield,11
42,8,25.51,hopfield,12
43,8,26.12,hopfield,13
44,8,25.97,hopfield,14
45,8,25.84,hopfield,15
46,8,26.19,hopfield,16
47,8,25.88,hopfield,17
48,8,26.09,hopfield,18
49,8,27.64,hopfield,19
50,8,29.36,hopfield,20
51,8,29.18,hopfield,21
52,8,28.03,hopfield,22
53,8,27.68,hopfield,23
54,8,28.06,hopfield,24
55,8,28.93,hopfield,25
56,8,29.47,hopfield,26
57,8,29.21,hopfield,27
58,8,29.44,hopfield,28
59,8,30.01,hopfield,29
60,1,11.4,hopfield,0
61,1,19.5,hopfield,1
62,1,19.18,hopfield,2
63,1,20.38,hopfield,3
64,1,20.17,hopfield,4
65,1,21.17,hopfield,5
66,1,22.9,hopfield,6
67,1,22.88,hopfield,7
68,1,22.75,hopfield,8
69,1,23.43,hopfield,9
70,1,23.08,hopfield,10
71,1,23.08,hopfield,11
